model,dataset,text_id,magnitude,cosine_similarity
gpt2,g1c,117,213.37985,0.97121364
gpt2,g1c,118,182.22319,0.9744989
gpt2,g1c,119,208.2624,0.6273411
gpt2,g1c,120,187.45566,0.5939873
gpt2,g1c,121,173.6692,0.8846925
gpt2,g1c,122,171.96893,0.9738202
gpt2,g1c,123,189.16127,0.9473718
gpt2,g1c,124,191.0242,0.72074014
gpt2,g1c,125,202.55466,0.9767982
gpt2,g1c,126,171.99652,0.6633158
gpt2,g1c,127,216.73653,0.9501579
gpt2,g1c,128,206.51726,0.97949666
gpt2,g1c,129,183.00941,0.9736275
gpt2,g1c,130,188.33298,0.8884098
gpt2,g1c,131,173.6692,0.8846925
gpt2,g1c,132,179.4981,0.934424
gpt2,g1c,133,171.99652,0.6633158
gpt2,g1c,134,196.7248,0.97560704
gpt2,g1c,135,208.2624,0.6273411
gpt2,g1c,136,179.4981,0.934424
gpt2,g1c,137,180.92677,0.8332593
gpt2,g1c,138,191.82306,0.98171204
gpt2,g1c,139,193.40523,0.9779687
gpt2,g1c,140,216.73653,0.9501579
gpt2,g1c,141,190.29826,0.94766265
gpt2,g1c,142,192.80927,0.9398718
gpt2,g1c,143,206.51726,0.97949666
gpt2,g1c,144,191.0242,0.72074014
gpt2,g1c,145,191.82306,0.98171204
gpt2,g1c,146,187.45566,0.5939873
gpt2,g1c,147,180.92677,0.8332593
gpt2,g1c,148,191.76572,0.9741261
gpt2,g1c,149,189.94861,0.9247315
gpt2,g2s,0,189.68785,0.9652696
gpt2,g2s,1,192.56409,0.97593814
gpt2,g2s,2,200.43314,0.9758815
gpt2,g2s,3,184.32216,0.9707476
gpt2,g2s,4,192.3342,0.9580921
gpt2,g2s,5,176.78401,0.9692506
gpt2,g2s,6,192.30226,0.9750155
gpt2,g2s,7,204.00798,0.9668156
gpt2,g2s,8,202.4894,0.9778625
gpt2,g2s,9,186.99785,0.970152
gpt2,g2s,10,201.99582,0.96857005
gpt2,g2s,11,191.66,0.96812105
gpt2,g2s,12,194.12326,0.9648344
gpt2,g2s,13,212.14299,0.97738624
gpt2,g2s,14,209.517,0.97950524
gpt2,g2s,15,176.78401,0.9692506
gpt2,g2s,16,201.7602,0.9663534
gpt2,g2s,17,201.80023,0.9643829
gpt2,g2s,18,209.739,0.978262
gpt2,g2s,19,193.44916,0.9769873
gpt2,g2s,20,205.02013,0.97908026
gpt2,g2s,21,179.37842,0.97503036
gpt2,g2s,22,192.4997,0.97391576
gpt2,g2s,23,206.82405,0.9786994
gpt2,g2s,24,209.1776,0.9802727
gpt2,g2s,25,201.72827,0.97618264
gpt2,g2s,26,207.75696,0.9761454
gpt2,g2s,27,185.91136,0.97241366
gpt2,g2s,28,190.61325,0.97665495
gpt2,g2s,29,202.13268,0.9761897
gpt2,g2s,30,193.13948,0.97420967
gpt2,g2s,31,211.62192,0.9794253
gpt2,g2s,32,193.76913,0.97571295
gpt2,g2s,33,204.00798,0.9668156
gpt2,g2s,34,188.99498,0.9755329
gpt2,g2s,35,183.10832,0.97316015
gpt2,g2s,36,184.21617,0.97259474
gpt2,g2s,37,182.06406,0.96623623
gpt2,g2s,38,208.58835,0.9788141
gpt2,g2s,39,207.31921,0.9794521
gpt2,g2s,40,205.26157,0.9718065
gpt2,g2s,41,207.98514,0.9774264
gpt2,g2s,42,182.40036,0.9709797
gpt2,g2s,43,205.16293,0.9786895
gpt2,g2s,44,193.19916,0.97779673
gpt2,g2s,45,182.40036,0.9709797
gpt2,g2s,46,181.75311,0.9746029
gpt2,g2s,47,195.48074,0.9691142
gpt2,g2s,48,195.73329,0.9770921
gpt2,g2s,49,194.12326,0.9648344
gpt2,g2s,50,182.40036,0.9709797
gpt2,g2s,51,202.09796,0.97187644
gpt2,g2s,52,183.15446,0.9715036
gpt2,g2s,53,190.62843,0.9765011
gpt2,g2s,54,203.9337,0.9765989
gpt2,g2s,55,210.09593,0.97784454
gpt2,g2s,56,200.51765,0.965629
gpt2,g2s,57,189.95181,0.9700861
gpt2,g2s,58,181.37888,0.9720985
gpt2,g2s,59,193.92743,0.9779796
gpt2,g2s,60,206.64735,0.96927553
gpt2,g2s,61,191.27063,0.9676738
gpt2,g2s,62,199.02893,0.971185
gpt2,g2s,63,199.14232,0.9776712
gpt2,g2s,64,194.23283,0.975433
gpt2,g2s,65,181.98935,0.9638588
gpt2,g2s,66,193.19418,0.9737278
gpt2,g2s,67,208.65991,0.9793258
gpt2,g2s,68,200.7036,0.9662495
